rp,condition,hclass,desc,area_ha,plots,people
1000,baseline,6,H6 unsafe; buildings fail,464.33,408,2886
1000,scheme,1,H1 generally safe,124.23,277,1529
1000,scheme,2,H2 unsafe small vehicles,55.14,150,504
1000,scheme,3,H3 unsafe vehicles/children/elderly,55.81,161,534
1000,scheme,4,H4 unsafe for people,64.36,129,541
1000,scheme,5,H5 unsafe; buildings damaged,178.57,105,931
1000,scheme,6,H6 unsafe; buildings fail,148.88,28,277
10000,baseline,1,H1 generally safe,18.46,57,273
10000,baseline,2,H2 unsafe small vehicles,11.71,44,141
10000,baseline,3,H3 unsafe vehicles/children/elderly,7.63,38,100
10000,baseline,4,H4 unsafe for people,15.07,36,124
10000,baseline,5,H5 unsafe; buildings damaged,119.49,205,1245
10000,baseline,6,H6 unsafe; buildings fail,634.43,673,5143
10000,scheme,1,H1 generally safe,50.03,109,701
10000,scheme,2,H2 unsafe small vehicles,32.03,79,432
10000,scheme,3,H3 unsafe vehicles/children/elderly,31.28,74,479
10000,scheme,4,H4 unsafe for people,44.35,77,553
10000,scheme,5,H5 unsafe; buildings damaged,215.62,369,2155
10000,scheme,6,H6 unsafe; buildings fail,397.4,309,2184
